Location,Sequence,SegPos,Gen,Donor,Recipient,Fit_plant,latitude,longitude
68,202,202L,G1,BB_108,BB_189,3,38.31437,-123.06992
68,202,202R,G1,BB_130,BB_007,,38.31437,-123.06992
68,203,203L,G1,BB_176,BB_017,,38.31437,-123.06992
68,203,203R,G2,BB_047,BB_193,,38.31437,-123.06992
68,204,204L,G1,BB_125,BB_024,2,38.31437,-123.06992
68,204,204R,G1,BB_162,BB_040,1,38.31437,-123.06992
69,205,205L,G2,BB_047,BB_131,1,38.31436,-123.06992
69,205,205R,G1,BB_168,BB_081,2,38.31436,-123.06992
69,206,206L,G1,BB_197,BB_211,4,38.31436,-123.06992
69,206,206R,G1,BB_075,BB_079,5,38.31436,-123.06992
69,207,207L,G1,BB_217,BB_054,2,38.31436,-123.06992
69,207,207R,G1,BB_130,BB_120,1,38.31436,-123.06992
70,208,208R,G2,BB_023,BB_190,,38.31433,-123.06995
70,209,209L,G1,BB_168,BB_046,2,38.31433,-123.06995
70,209,209R,G1,BB_015,BB_063,5,38.31433,-123.06995
