,Site:  Angelo Coast 2021-22,,,,,Plant ID,,,,,,,,,
Block (1-3),Transect (1-9),Sequence (1-321),Pollen Donor ID,Maternal Sibship,mm/dd,1,2,3,4,5,6,7,8,9,10
1,3,102,AC_216,AC_99,Germ Date,2022-12-05,2022-12-05,2022-12-05,2022-12-05,2022-11-03,2022-12-05,2022-12-05,2022-12-05,2022-12-05,2022-12-05
1,3,102,AC_216,AC_99,Flow Date,,,,,,,,,,
1,3,103,AC_156,AC_5,Germ Date,2022-12-05,2022-11-03,2022-11-03,2022-12-05,2022-12-05,2022-12-05,2022-12-05,2022-11-03,2022-11-03,2022-11-03
1,3,103,AC_156,AC_5,Flow Date,,,Dead 12/5,,,,,,Dead 12/5,
1,3,104,AC_002,AC_160,Germ Date,2022-12-05,2022-12-05,2022-11-03,2022-11-03,2022-12-05,2022-12-05,2022-12-05,2022-11-03,2022-12-05,2022-11-03
1,3,104,AC_002,AC_160,Flow Date,,,,Dead 12/5,,,Dead 12/5,Dead 12/5,,
1,3,105,AC_172,AC_111,Germ Date,2022-12-05,2022-12-05,2022-12-05,2022-12-05,2022-12-05,2022-12-05,,2022-12-05,2022-12-05,2022-12-05
1,3,105,AC_172,AC_111,Flow Date,,,,,,,,,,
1,3,106,AC_52,AC_212,Germ Date,,2022-12-05,,2022-12-05,2022-12-05,2022-12-05,,2022-12-05,,
1,3,106,AC_52,AC_212,Flow Date,,,,,,,,,,
1,3,107,AC_198,AC_51,Germ Date,2022-11-03,2022-11-03,2022-11-03,2022-11-03,2022-11-03,2022-11-03,2022-11-03,2022-11-03,2022-11-03,2022-11-03
1,3,107,AC_198,AC_51,Flow Date,Dead 12/5,,,,,,,,,
2,4,108,AC_54,AC_119,Germ Date,2022-12-05,2022-12-05,2022-11-03,2022-12-05,2022-12-05,2022-12-05,2022-12-05,2022-12-05,2022-11-03,2022-11-03
2,4,108,AC_54,AC_119,Flow Date,,,,,,,,,,
2,4,109,AC_89,AC_32,Germ Date,,2022-11-03,2022-12-05,2022-11-03,2022-12-05,2022-11-03,2022-12-05,2022-11-03,2022-11-03,
2,4,109,AC_89,AC_32,Flow Date,,,,,,,,,,
2,4,110,AC_165,AC_206,Germ Date,2022-12-05,2022-12-05,2022-12-05,2022-12-05,2022-12-05,2022-12-05,2022-12-05,2022-12-05,,2022-12-05
2,4,110,AC_165,AC_206,Flow Date,,,,,,,,,,
