Site: Blue Oak 2021-22,,,,,,,,,,
Block (1-3),Transect (1-14),Sequence (1-396),Tray Number,Tray Column,Cohort,Donor_ID,Recipient_ID,Number of filled seeds,Number seeds planting 2021,Number seeds per block
3,10,333,16,18,3,BO_39,BO_87,82,41,13.66666667
3,11,334,16,19,5,BO_162,BO_108,100,50,16.66666667
3,11,335,16,20,6,BO_201,BO_130,100,50,16.66666667
3,11,336,16,21,1,BO_128,BO_60,123,61,20.33333333
3,11,337,17,1,1,BO_119,BO_13,120,60,20
3,11,338,17,2,3,BO_39,BO_200,189,94,31.33333333
3,11,339,17,3,5,BO_143,BO_152,100,50,16.66666667
3,11,340,17,4,2,BO_096,BO_134,103,51,17
3,11,341,17,5,6,BO_40,BO_67,100,50,16.66666667
3,11,342,17,6,5,BO_65,BO_115,100,50,16.66666667
3,11,343,17,7,2,BO_096,BO_12,130,65,21.66666667
3,11,344,17,8,2,BO_177,BO_147,181,90,30
3,11,345,17,9,2,BO_199,BO_15,148,74,24.66666667
3,11,346,17,10,2,BO_038,BO_137,200,100,33.33333333
3,11,347,17,11,4,BO_33,BO_99,121,60,20
3,11,348,17,12,5,BO_5,BO_176,95,47,15.66666667
3,11,349,17,13,2,BO_187,BO_150,106,53,17.66666667
3,11,350,17,14,1,BO_106,BO_104,144,72,24
3,11,351,17,15,6,BO_149,BO_32,41,20,6.666666667
3,11,352,17,16,1,BO_128,BO_105,55,27,9
3,11,353,17,17,3,BO_198,BO_100,76,38,12.66666667
3,11,354,17,18,4,BO_74,BO_118,183,91,30.33333333
3,11,355,17,19,1,BO_119,BO_17,78,39,13
3,11,356,17,20,5,BO_5,BO_122,100,50,16.66666667
3,11,357,17,21,1,BO_185,BO_71,92,46,15.33333333
3,11,358,18,1,5,BO_70,BO_46,45,22,7.333333333
3,11,359,18,2,6,BO_153,BO_22,100,50,16.66666667
3,11,360,18,3,5,BO_168,BO_175,100,50,16.66666667
3,11,361,18,4,2,BO_199,BO_69,51,25,8.333333333
3,11,362,18,5,2,BO_029,BO_61,119,59,19.66666667
3,11,363,18,6,6,BO_1,BO_25,100,50,16.66666667
3,11,364,18,7,2,BO_038,BO_82,133,66,22
3,11,365,18,8,5,BO_168,BO_180,99,49,16.33333333
3,11,366,18,9,1,BO_119,BO_51,175,87,29
3,11,367,18,10,5,BO_173,BO_79,100,50,16.66666667
3,11,368,18,11,1,BO_101,BO_182,192,96,32
3,11,369,18,12,3,BO_198,BO_159,126,63,21
3,11,370,18,13,4,BO_73,BO_117,163,81,27
3,11,371,18,14,1,BO_088,BO_50,169,84,28
3,11,372,18,15,5,BO_194,BO_37,100,50,16.66666667
3,11,373,18,16,5,BO_70,BO_66,100,50,16.66666667
3,12,374,18,17,6,BO_13,BO_114,101,50,16.66666667
3,12,375,18,18,5,BO_188,BO_8,100,50,16.66666667
3,12,376,18,19,6,BO_153,BO_177,100,50,16.66666667
3,12,377,18,20,6,BO_1,BO_48,100,50,16.66666667
3,12,378,18,21,1,BO_106,BO_191,169,84,28
3,12,379,19,1,2,BO_177,BO_139,153,76,25.33333333
3,12,380,19,2,6,BO_13,BO_141,25,12,4
3,12,381,19,3,4,BO_192,BO_166,139,69,23
3,12,382,19,4,4,BO_73,BO_186,76,38,12.66666667
3,12,383,19,5,2,BO_022,BO_20,119,59,19.66666667
3,12,384,19,6,5,BO_109,BO_1,93,46,15.33333333
3,12,385,19,7,1,BO_185,BO_153,125,62,20.66666667
3,12,386,19,8,4,BO_170,BO_111,122,61,20.33333333
3,12,387,19,9,2,BO_022,BO_9,68,34,11.33333333
3,12,388,19,10,2,BO_189,BO_86,112,56,18.66666667
3,12,389,19,11,6,BO_32,BO_96,101,50,16.66666667
3,12,390,19,12,6,BO_1,BO_151,100,50,16.66666667
3,12,391,19,13,1,BO_151,BO_167,108,54,18
3,12,392,19,14,6,BO_32,BO_132,100,50,16.66666667
3,12,393,19,15,5,BO_65,BO_14,100,50,16.66666667
3,12,394,19,16,3,BO_163,BO_144,124,62,20.66666667
3,12,395,19,17,2,BO_029,BO_190,100,50,16.66666667
3,12,396,19,18,6,BO_40,BO_29,100,50,16.66666667
