Sequence,Transect,Seg,Gen,GenSym,Recipient,Fit_plant,GT_closed_fruit,GT_open_fruit,GT_filled_seeds,N_CLOSED_fruit_D1,N_OPEN_fruit_D1,N_FILLED_seeds_D1,N_total_seeds_D1,N_CLOSED_fruit_D2,N_OPEN_fruit_D2,N_FILLED_seeds_D2,N_total_seeds_D2,N_CLOSED_fruit_D3,N_OPEN_fruit_D3,N_FILLED_seeds_D3,N_total_seeds_D3,N_CLOSED_fruit_D4,N_OPEN_fruit_D4,N_FILLED_seeds_D4,N_total_seeds_D4,N_CLOSED_fruit_D5,N_OPEN_fruit_D5,N_FILLED_seeds_D5,N_total_seeds_D5,notes
138,4,31R,G2,X,AC_068,1,,,,,,,,,,,,,,,,,,,,,,,,
139,4,32L,G2,X,AC_179,5,,,,,,,,,,,,,,,,,,,,,,,,
139,4,32R,G2,X,AC_190,1,,,,,,,,,,,,,,,,,,,,,,,,
140,4,33L,G2,X,AC_118,3,,,,,,,,,,,,,,,,,,,,,,,,
140,4,33R,G2,X,AC_064,3,,,,,,,,,,,,,,,,,,,,,,,,
141,4,34L,G2,X,AC_147,1,,,,,,,,,,,,,,,,,,,,,,,,
141,4,34R,G2,X,AC_131,3,,,,,,,,,,,,,,,,,,,,,,,,
142,4,35R,G1,-,AC_062,3,,,,,,,,,,,,,,,,,,,,,,,,
144,5,1L,G1,-,AC_109,2,,,,,,,,,,,,,,,,,,,,,,,,
144,5,1R,G1,-,AC_153,1,,,,,,,,,,,,,,,,,,,,,,,,
145,5,2L,G1,-,AC_200,5,,,,,,,,,,,,,,,,,,,,,,,,
145,5,2R,G1,-,AC_171,2,,,,,,,,,,,,,,,,,,,,,,,,
146,5,3L,G2,X,AC_128,5,,,,,,,,,,,,,,,,,,,,,,,,
146,5,3R,G2,X,AC_046,2,,,,,,,,,,,,,,,,,,,,,,,,
147,5,4L,G1,-,AC_058,2,,,,,,,,,,,,,,,,,,,,,,,,
147,5,4R,G1,-,AC_195,5,,,,,,,,,,,,,,,,,,,,,,,,
148,5,5L,G2,X,AC_208,5,,,,,,,,,,,,,,,,,,,,,,,,
148,5,5R,G2,X,AC_178,5,,,,,,,,,,,,,,,,,,,,,,,,
149,5,6R,G2,X,AC_010,5,,,,,,,,,,,,,,,,,,,,,,,,
150,5,7L,G1,-,AC_068,2,,,,,,,,,,,,,,,,,,,,,,,,
150,5,7R,G2,X,AC_188,2,,,,,,,,,,,,,,,,,,,,,,,,
151,5,8L,G1,-,AC_206,5,,,,,,,,,,,,,,,,,,,,,,,,
151,5,8R,G2,X,AC_032,4,,,,,,,,,,,,,,,,,,,,,,,,
152,5,9L,G2,X,AC_111,1,,,,,,,,,,,,,,,,,,,,,,,,
