Transect,Segment,Sequence,position,Gen,GenSym,Recipient,Fit_plant,GT_closed_fruit,GT_open_fruit,GT_filled_seeds,Date_1,N_closed_fruit_D1,N_open_fruit_D1,N_other_fruit_D1,N_total_seeds_D1,N_filled_seeds_D1,Date_2,N_closed_fruit_D2,N_open_fruit_D2,N_other_fruit_D2,N_total_seeds_D2,N_filled_seeds_D2,Date_3,N_closed_fruit_D3,N_open_fruit_D3,N_total_seeds_D3,N_filled_seeds_D3,Date_4,N_closed_fruit_D4,N_open_fruit_D4,N_other_fruit_D3,N_total_seeds_D4,N_filled_seeds_D4,Date_5,N_closed_fruit_D5,N_open_fruit_D5,N_other_fruit_D4,N_total_seeds_D5,N_filled_seeds_D5,notes
3,19,91,R,G2,X,AC_099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,20,92,L,G1,-,AC_016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,20,92,R,G1,-,AC_038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,21,93,L,G1,-,AC_215,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,21,93,R,G1,-,AC_199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,22,94,L,G2,X,AC_206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,22,94,R,G1,-,AC_190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,23,95,L,G2,X,AC_038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,23,95,R,G1,-,AC_199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,24,96,L,G1,-,AC_032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,24,96,R,G1,-,AC_211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,25,97,L,G1,-,AC_181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,25,97,R,G1,-,AC_186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,26,98,L,G1,-,AC_046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,26,98,R,G1,-,AC_016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,27,99,L,G1,-,AC_136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,27,99,R,G2,X,AC_179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,28,100,L,G2,X,AC_081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,28,100,R,G2,X,AC_212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,29,101,L,G1,-,AC_191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,29,101,R,G2,X,AC_213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,30,102,L,G2,X,AC_144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,30,102,R,G2,X,AC_154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,31,103,L,G2,X,AC_015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,31,103,R,G2,X,AC_171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,32,104,L,G1,-,AC_051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,32,104,R,G1,-,AC_197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,33,105,L,G2,X,AC_058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,33,105,R,G1,-,AC_111,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,34,106,L,G2,X,AC_119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,34,106,R,G1,-,AC_190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,35,107,L,G2,X,AC_034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,35,107,R,G2,X,AC_074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,108,L,G2,X,AC_111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,108,R,G2,X,AC_187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2,109,L,G2,X,AC_046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2,109,R,G1,-,AC_096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,3,110,L,G2,X,AC_055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,3,110,R,G1,-,AC_011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4,111,L,G1,-,AC_104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4,111,R,G2,X,AC_107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,5,112,L,G2,X,AC_178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,5,112,R,G1,-,AC_201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,6,113,L,G1,-,AC_179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,6,113,R,G2,X,AC_109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
