Sequence,Transect,Seg,Gen,GenSym,Recipient,Fit_plant,GT_closed_fruit,GT_open_fruit,GT_filled_seeds,N_CLOSED_fruit_D1,N_OPEN_fruit_D1,N_FILLED_seeds_D1,N_total_seeds_D1,N_CLOSED_fruit_D2,N_OPEN_fruit_D2,N_FILLED_seeds_D2,N_total_seeds_D2,N_CLOSED_fruit_D3,N_OPEN_fruit_D3,N_FILLED_seeds_D3,N_total_seeds_D3,N_CLOSED_fruit_D4,N_OPEN_fruit_D4,N_FILLED_seeds_D4,N_total_seeds_D4,N_CLOSED_fruit_D5,N_OPEN_fruit_D5,N_FILLED_seeds_D5,N_total_seeds_D5,notes
262,9,13L,G2,X,BO_080,5,,,,,,,,,,,,,,,,,,,,,,,,
262,9,13R,G2,X,BO_123,1,,,,,,,,,,,,,,,,,,,,,,,,
263,9,14R,G1,-,BO_091,3,,,,,,,,,,,,,,,,,,,,,,,,
264,9,15L,G1,-,BO_089,1,,,,,,,,,,,,,,,,,,,,,,,,
264,9,15R,G1,-,BO_125,1,,,,,,,,,,,,,,,,,,,,,,,,
265,9,16L,G1,-,BO_159,2,,,,,,,,,,,,,,,,,,,,,,,,
265,9,16R,G1,-,BO_130,3,,,,,,,,,,,,,,,,,,,,,,,,
266,9,17L,G1,-,BO_066,1,,,,,,,,,,,,,,,,,,,,,,,,
266,9,17R,G1,-,BO_176,3,,,,,,,,,,,,,,,,,,,,,,,,
267,9,18L,G2,X,BO_150,3,,,,,,,,,,,,,,,,,,,,,,,,
267,9,18R,G2,X,BO_125,1,,,,,,,,,,,,,,,,,,,,,,,,
268,9,19L,G1,-,BO_014,5,,,,,,,,,,,,,,,,,,,,,,,,
269,9,20L,G1,-,BO_095,5,,,,,,,,,,,,,,,,,,,,,,,,
269,9,20R,G1,-,BO_195,3,,,,,,,,,,,,,,,,,,,,,,,,
270,9,21L,G2,X,BO_043,3,,,,,,,,,,,,,,,,,,,,,,,,
270,9,21R,G1,-,BO_085,5,,,,,,,,,,,,,,,,,,,,,,,,
271,9,22R,G2,X,BO_025,5,,,,,,,,,,,,,,,,,,,,,,,,
272,9,23L,G1,-,BO_186,1,,,,,,,,,,,,,,,,,,,,,,,,
272,9,23R,G1,-,BO_052,2,,,,,,,,,,,,,,,,,,,,,,,,
273,9,24L,G2,X,BO_061,4,,,,,,,,,,,,,,,,,,,,,,,,
273,9,24R,G1,-,BO_106,1,,,,,,,,,,,,,,,,,,,,,,,,
