rowN,Transect,SegNoPos,Recipient,Gen,Plant_ID,Sample_ID,Tube ID,Total_weight(capsule+sample)(mg),Tray Name,Well_ID,capsule_size,capsule_weight_mg,sample weight (mg),Type of Material,Analysis,Enriched
140,3,17L,AC_122,G1,2,AC_122-G1-003-17L-2,140,,Nemo_2023_AC_2,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
141,3,18R,AC_064,G1,4,AC_064-G1-003-18R-4,141,,Nemo_2023_AC_2,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
142,3,19L,AC_215,G1,2,AC_215-G1-003-19L-2,142,,Nemo_2023_AC_2,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
143,3,19R,AC_099,G2,5,AC_099-G2-003-19R-5,143,,Nemo_2023_AC_2,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
144,3,20L,AC_016,G1,5,AC_016-G1-003-20L-5,144,,Nemo_2023_AC_2,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
145,3,20R,AC_038,G1,4,AC_038-G1-003-20R-4,145,,Nemo_2023_AC_2,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
146,3,21L,AC_215,G1,2,AC_215-G1-003-21L-2,146,,Nemo_2023_AC_2,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
147,3,23L,AC_038,G2,4,AC_038-G2-003-23L-4,147,,Nemo_2023_AC_2,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
148,3,24R,AC_211,G1,5,AC_211-G1-003-24R-5,148,,Nemo_2023_AC_2,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
149,3,25R,AC_186,G1,4,AC_186-G1-003-25R-4,149,,Nemo_2023_AC_2,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
150,3,26L,AC_046,G1,4,AC_046-G1-003-26L-4,150,,Nemo_2023_AC_2,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
151,3,27L,AC_136,G1,2,AC_136-G1-003-27L-2,151,,Nemo_2023_AC_2,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
152,3,27R,AC_179,G2,5,AC_179-G2-003-27R-5,152,,Nemo_2023_AC_2,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
153,3,29R,AC_213,G2,2,AC_213-G2-003-29R-2,153,,Nemo_2023_AC_2,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
154,3,30L,AC_144,G2,5,AC_144-G2-003-30L-5,154,,Nemo_2023_AC_2,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
155,3,30R,AC_154,G2,3,AC_154-G2-003-30R-3,155,,Nemo_2023_AC_2,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
156,3,31L,AC_015,G2,2,AC_015-G2-003-31L-2,156,,Nemo_2023_AC_2,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
157,3,31R,AC_171,G2,3,AC_171-G2-003-31R-3,157,,Nemo_2023_AC_2,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
