Transect,Segment,side,Gen (G1 = —; G2 = X),Recipient,Plant_ID,Fitness (y/n),Skeleton Weights (mg),Notes (complete or incomplete),Chosen for Pulverization? (y/n)
7,2,R,G1,AC_110,5,y,8.5,c,y
7,3,L,G2,AC_191,5,y,16.2,c,y
7,3,R,G2,AC_070,1,y,,i,y
7,4,L,G2,AC_187,2,y,1.95,c,y
7,4,R,G1,AC_201,5,y,,i,y
7,6,L,G2,AC_172,2,missing,,,
7,6,R,G1,AC_095,3,y,,i,y
7,7,L,G1,AC_056,3,y,179.96,c,y
7,7,R,G1,AC_055,3,y,29.05,c,y
7,8,L,G2,AC_211,1,y,17.99,c,y
7,8,R,G2,AC_199,4,y,32.03,c,y
7,9,L,G1,AC_052,3,y,,i,y
7,9,R,G2,AC_204,4,y,13.86,c,y
7,10,L,G1,AC_074,4,y,,i,n
7,10,R,G1,AC_179,5,y,,i,n
7,11,R,G2,AC_200,3,y,28.96,c,y
7,12,L,G1,AC_017,2,y,,i,n
7,12,R,G2,AC_056,1,y,,i,y
7,13,L,G2,AC_216,2,y,61.79,c,y
7,14,L,G1,AC_048,4,y,2.98,c,y
7,14,R,G2,AC_189,1,y,3.13,c,y
7,15,R,G2,AC_122,2,y,14.33,c,y
7,16,L,G2,AC_217,1,y,28.6,c,y
7,17,R,G1,AC_066,5,y,16.98,c,y
7,19,R,G2,AC_155,2,y,34.71,c,y
7,20,L,G2,AC_110,5,y,35.64,c,y
7,21,R,G2,AC_017,3,y,12.64,c,y
7,22,L,G2,AC_051,1,y,7.31,c,y
7,22,R,G2,AC_086,5,y,19.84,c,y
7,23,L,G2,AC_104,1,y,,i,n
7,23,R,G2,AC_057,2,y,,i,y
7,24,L,G1,AC_218,5,y,,i,y
7,24,R,G2,AC_081,1,y,2.19,c,y
7,25,L,G1,AC_114,2,y,1.66,c,y
7,26,R,G1,AC_092,5,y,2.85,c,y
7,27,R,G2,AC_017,5,y,,i,y
7,28,L,G1,AC_151,1,y,0.73,c,n
7,28,R,G2,AC_189,2,y,,i,y
7,29,L,G2,AC_178,4,y,2,c,y
7,29,R,G1,AC_216,5,y,4.14,c,y
7,30,L,G2,AC_096,1,y,1.85,c,y
7,31,L,G2,AC_114,2,y,11.23,c,y
7,31,R,G2,AC_123,3,y,2.78,c,y
7,32,L,G2,AC_083,2,y,,i,n
7,32,R,G2,AC_034,2,y,,i,y
7,33,L,G2,AC_216,5,y,3.29,i,y
7,33,R,G1,AC_075,4,y,2.83,c,y
7,34,L,G1,AC_107,5,y,2.69,i,y
7,34,R,G1,AC_082,1,y,3.92,c,y
7,35,L,G1,AC_097,5,y,,i,y
7,35,R,G2,AC_211,1,y,10.59,c,y
7,36,L,G2,AC_052,3,y,11.91,c,y
7,36,R,G2,AC_030,5,y,37.2,c,y
8,1,L,G2,AC_193,1,y,1.56,c,y
8,1,R,G1,AC_011,5,y,17.44,c,y
8,2,L,G2,AC_038,4,y,11.54,c,y
8,2,R,G2,AC_191,1,y,,i,y
8,3,L,G2,AC_148,4,y,3.54,c,y
8,3,R,G1,AC_038,2,y,,i,y
8,4,R,G2,AC_089,3,y,53.5,c,y
8,5,L,G1,AC_131,5,y,1.19,c,y
8,5,R,G2,AC_218,1,y,,i,y
