Block,Transect,Sequence,Donor,Recipient,Plant_ID,Germ_Date,Sow_Date,Plant_Date
1,1,37,HR_095,HR_178,5,2021-12-06,2021-11-10,2021-11-19
1,1,37,HR_095,HR_178,6,2021-12-06,2021-11-10,2021-11-19
1,1,37,HR_095,HR_178,7,2021-11-19,2021-11-10,2021-11-19
1,1,37,HR_095,HR_178,8,2021-12-06,2021-11-10,2021-11-19
1,1,38,HR_155,HR_047,1,2021-11-19,2021-11-10,2021-11-19
1,1,38,HR_155,HR_047,2,2021-11-19,2021-11-10,2021-11-19
1,1,38,HR_155,HR_047,3,2021-12-06,2021-11-10,2021-11-19
1,1,38,HR_155,HR_047,4,2021-12-06,2021-11-10,2021-11-19
1,1,38,HR_155,HR_047,5,2021-12-06,2021-11-10,2021-11-19
1,1,38,HR_155,HR_047,6,2021-12-06,2021-11-10,2021-11-19
1,1,38,HR_155,HR_047,7,2021-12-06,2021-11-10,2021-11-19
1,1,38,HR_155,HR_047,8,2021-12-06,2021-11-10,2021-11-19
1,1,39,HR_070,HR_123,1,2021-12-06,2021-11-10,2021-11-19
1,1,39,HR_070,HR_123,2,2021-12-06,2021-11-10,2021-11-19
1,1,39,HR_070,HR_123,3,2021-12-06,2021-11-10,2021-11-19
1,1,39,HR_070,HR_123,4,2021-12-17,2021-11-10,2021-11-19
1,1,39,HR_070,HR_123,5,2021-12-06,2021-11-10,2021-11-19
1,1,39,HR_070,HR_123,6,NA,2021-11-10,2021-11-19
1,1,39,HR_070,HR_123,7,2021-12-06,2021-11-10,2021-11-19
1,1,39,HR_070,HR_123,8,2021-12-06,2021-11-10,2021-11-19
1,1,40,HR_053,HR_092,1,2021-12-06,2021-11-10,2021-11-19
1,1,40,HR_053,HR_092,2,2021-12-06,2021-11-10,2021-11-19
1,1,40,HR_053,HR_092,3,NA,2021-11-10,2021-11-19
1,1,40,HR_053,HR_092,4,2021-12-06,2021-11-10,2021-11-19
1,1,40,HR_053,HR_092,5,NA,2021-11-10,2021-11-19
1,1,40,HR_053,HR_092,6,NA,2021-11-10,2021-11-19
1,1,40,HR_053,HR_092,7,2021-12-06,2021-11-10,2021-11-19
1,1,40,HR_053,HR_092,8,NA,2021-11-10,2021-11-19
1,1,41,HR_110,HR_039,1,2021-12-06,2021-11-10,2021-11-19
1,1,41,HR_110,HR_039,2,2021-12-06,2021-11-10,2021-11-19
1,1,41,HR_110,HR_039,3,2021-12-06,2021-11-10,2021-11-19
1,1,41,HR_110,HR_039,4,2021-12-06,2021-11-10,2021-11-19
1,1,41,HR_110,HR_039,5,2021-12-06,2021-11-10,2021-11-19
1,1,41,HR_110,HR_039,6,2021-12-06,2021-11-10,2021-11-19
1,1,41,HR_110,HR_039,7,2021-12-06,2021-11-10,2021-11-19
1,1,41,HR_110,HR_039,8,2021-12-06,2021-11-10,2021-11-19
1,1,42,HR_160,HR_173,1,2021-12-06,2021-11-10,2021-11-19
1,1,42,HR_160,HR_173,2,2021-12-06,2021-11-10,2021-11-19
1,1,42,HR_160,HR_173,3,2021-12-06,2021-11-10,2021-11-19
1,1,42,HR_160,HR_173,4,2021-12-06,2021-11-10,2021-11-19
1,1,42,HR_160,HR_173,5,2021-12-06,2021-11-10,2021-11-19
1,1,42,HR_160,HR_173,6,2021-12-06,2021-11-10,2021-11-19
1,1,42,HR_160,HR_173,7,2021-12-06,2021-11-10,2021-11-19
1,1,42,HR_160,HR_173,8,2021-12-06,2021-11-10,2021-11-19
1,1,43,HR_189,HR_018,1,2021-12-06,2021-11-10,2021-11-19
1,1,43,HR_189,HR_018,2,2021-12-06,2021-11-10,2021-11-19
1,1,43,HR_189,HR_018,3,2021-12-17,2021-11-10,2021-11-19
1,1,43,HR_189,HR_018,4,2021-12-06,2021-11-10,2021-11-19
1,1,43,HR_189,HR_018,5,2021-11-19,2021-11-10,2021-11-19
1,1,43,HR_189,HR_018,6,2021-12-06,2021-11-10,2021-11-19
1,1,43,HR_189,HR_018,7,2021-12-06,2021-11-10,2021-11-19
1,1,43,HR_189,HR_018,8,2021-12-17,2021-11-10,2021-11-19
1,1,44,HR_115,HR_026,1,2021-11-19,2021-11-10,2021-11-19
1,1,44,HR_115,HR_026,2,2021-11-19,2021-11-10,2021-11-19
1,1,44,HR_115,HR_026,3,2021-12-06,2021-11-10,2021-11-19
1,1,44,HR_115,HR_026,4,2021-12-06,2021-11-10,2021-11-19
1,1,44,HR_115,HR_026,5,2021-11-19,2021-11-10,2021-11-19
1,1,44,HR_115,HR_026,6,2021-12-06,2021-11-10,2021-11-19
1,1,44,HR_115,HR_026,7,2021-11-19,2021-11-10,2021-11-19
1,1,44,HR_115,HR_026,8,2021-11-19,2021-11-10,2021-11-19
1,1,45,HR_110,HR_037,1,2021-11-19,2021-11-10,2021-11-19
1,1,45,HR_110,HR_037,2,2021-12-06,2021-11-10,2021-11-19
1,1,45,HR_110,HR_037,3,2021-11-19,2021-11-10,2021-11-19
1,1,45,HR_110,HR_037,4,2021-12-06,2021-11-10,2021-11-19
