,,,,,,,,,,,,,,Collection Date: 2022-05-13 to 2022-05-16,,,Collection Date: 2022-05-24 to 2022-05-26,,,Collection Date: 2022-06-06 to 2022-06-08,,,Collection Date: 2022-06-22,,,Collection Date: NA,,
,,,,,,,,,,,,,,# of CLOSED Fruits collected from FITNESS plant,Total # of SEEDS from CLOSED Fruits collected from FITNESS plant,# of FILLED SEEDS from closed fruits collected from fitness plant,# of CLOSED Fruits collected from FITNESS plant,Total # of SEEDS from CLOSED Fruits collected from FITNESS plant,# of FILLED SEEDS from closed fruits collected from fitness plant,# of CLOSED Fruits collected from FITNESS plant,Total # of SEEDS from CLOSED Fruits collected from FITNESS plant,# of FILLED SEEDS from closed fruits collected from fitness plant,# of CLOSED Fruits collected from FITNESS plant,Total # of SEEDS from CLOSED Fruits collected from FITNESS plant,# of FILLED SEEDS from closed fruits collected from fitness plant,# of CLOSED Fruits collected from FITNESS plant,Total # of SEEDS from CLOSED Fruits collected from FITNESS plant,# of FILLED SEEDS from closed fruits collected from fitness plant
Sequence,Transect,Recipient,Recipient for Sorting,Plant number of fitness plant (when chosen),Number of closed fruits used to estimate mean seeds per fruit (include multiple dates),Number of Open Fruits ,Total number of viable seeds counted across multiple dates,Total number of all fruits produced by the plant (open + closed),Mean seeds/fruit (G/F),Total production of viable seeds (I*H),Date Sown,Date Flowered ,Number of days between sow and flower ,,,,,,,,,,,,,,,
82,3,AC_16,AC_016,9,10,0,13,10,1.3,13,11/04/2021,,-44504,,,,6,,7,4,,6,,,,,,
73,3,AC_17,AC_017,3,3,0,6,3,2,6,11/04/2021,,-44504,,,,,,,3,,6,,,,,,
77,3,AC_32,AC_032,7,3,0,5,3,1.666666667,5,11/04/2021,,-44504,,,,2,,4,1,,1,,,,,,
89,3,AC_40,AC_040,2,1,0,0,1,0,0,11/04/2021,,-44504,,,,1,,0,,,,,,,,,
89,3,AC_40,AC_040,4,37,2,87,39,2.351351351,91.7027027,11/04/2021,,-44504,,,,17,,44,12,,28,8,,15,,,
89,3,AC_40,AC_040,8,9,1,14,10,1.555555556,15.55555556,11/04/2021,,-44504,,,,6,,12,2,,1,1,,1,,,
107,3,AC_51,AC_051,6,4,3,10,7,2.5,17.5,11/04/2021,,-44504,,,,4,,10,,,,,,,,,
98,3,AC_64,AC_064,8,17,6,84,23,4.941176471,113.6470588,11/04/2021,,-44504,,,,9,,63,8,,21,,,,,,
81,3,AC_75,AC_075,5,2,0,3,2,1.5,3,11/04/2021,,-44504,,,,2,,3,,,,,,,,,
90,3,AC_81,AC_081,2,20,8,52,28,2.6,72.8,11/04/2021,,-44504,,,,12,,37,7,,14,1,,1,,,
90,3,AC_81,AC_081,1,2,0,7,2,3.5,7,11/04/2021,,-44504,,,,2,,7,,,,,,,,,
90,3,AC_81,AC_081,6,13,0,30,13,2.307692308,30,11/04/2021,,-44504,,,,8,,20,4,,9,1,,1,,,
94,3,AC_90,AC_090,4,7,2,14,9,2,18,11/04/2021,,-44504,,,,5,,9,2,,5,,,,,,
75,3,AC_92,AC_092,1,3,0,3,3,1,3,11/04/2021,,-44504,,,,2,,0,1,,3,,,,,,
91,3,AC_95,AC_095,10,5,1,10,6,2,12,11/04/2021,,-44504,,,,3,,8,2,,2,,,,,,
102,3,AC_99,AC_099,2,5,1,16,6,3.2,19.2,11/04/2021,,-44504,,,,4,,16,1,,0,,,,,,
102,3,AC_99,AC_099,8,3,3,5,6,1.666666667,10,11/04/2021,,-44504,,,,1,,2,2,,3,,,,,,
102,3,AC_99,AC_099,9,4,0,7,4,1.75,7,11/04/2021,,-44504,,,,4,,7,,,,,,,,,
74,3,AC_100,AC_100,5,4,0,10,4,2.5,10,11/04/2021,,-44504,,,,1,,0,3,,10,,,,,,
105,3,AC_111,AC_111,2,7,7,7,14,1,14,11/04/2021,,-44504,,,,7,,7,,,,,,,,,
105,3,AC_111,AC_111,4,0,0,0,0,#DIV/0!,#DIV/0!,11/04/2021,,-44504,,,,,,,,,,,,,,,
105,3,AC_111,AC_111,10,7,7,28,14,4,56,11/04/2021,,-44504,,,,7,,28,,,,,,,,,
80,3,AC_113,AC_113,8,10,0,24,10,2.4,24,11/04/2021,,-44504,,,,6,,20,4,,4,,,,,,
100,3,AC_115,AC_115,6,2,1,3,3,1.5,4.5,11/04/2021,,-44504,,,,1,,1,1,,2,,,,,,
99,3,AC_119,AC_119,6,4,0,15,4,3.75,15,11/04/2021,,-44504,,,,,,,4,,15,,,,,,
92,3,AC_122,AC_122,2,4,0,4,4,1,4,11/04/2021,,-44504,,,,3,,3,1,,1,,,,,,
95,3,AC_133,AC_133,4,0,0,0,0,#DIV/0!,#DIV/0!,11/04/2021,,-44504,,,,,,,,,,,,,,,
86,3,AC_147,AC_147,9,8,2,25,10,3.125,31.25,11/04/2021,,-44504,,,,4,,18,4,,7,,,,,,
93,3,AC_154,AC_154,3,1,1,4,2,4,8,11/04/2021,,-44504,,,,1,,4,,,,,,,,,
96,3,AC_155,AC_155,4,11,0,41,11,3.727272727,41,11/04/2021,,-44504,,,,5,,30,4,,9,2,,2,,,
104,3,AC_160,AC_160,2,11,6,12,17,1.090909091,18.54545455,11/04/2021,,-44504,,,,10,,12,1,,0,,,,,,
83,3,AC_179,AC_179,5,5,0,23,5,4.6,23,11/04/2021,,-44504,,,,4,,21,1,,2,,,,,,
