Sequence,Transect,SegPos,Gen,Donor,Recipient,Plant_ID,F_plant,Sow_Date,Plant_Date,FFD,days_sow2flower,days_plant2flower,LFD,fl_duration,LeafD,FLR_P,F_Num_01,F_Num_02,F_Num_03,skel_weight_mg,Sym,ALL_closed_fruit,ALL_open_fruit,ALL_filled_seeds,total_seeds,total_fruits,mean_seeds_per_fruit,est_fecundity,surv_to_flower,surv_to_fruitprod,prod_closed_fruits,prod_filled_seeds
53,2,8R,G1,HR_059,HR_155,3,TRUE,2022-11-10,2022-11-13,2023-04-05,146,143,2023-05-04,29,,2023-04-05,,,,11.75,-,6,2,6,23,8,1,8,1,1,1,1
54,2,9L,G1,HR_053,HR_169,4,TRUE,2022-11-10,2022-11-13,2023-04-20,161,158,2023-04-20,0,,2023-04-20,,,,16.37,-,5,3,4,14,8,0.8,6.4,1,1,1,1
54,2,9R,G2,HR_180,HR_179,3,TRUE,2022-11-10,2022-11-13,2023-04-20,161,158,2023-04-20,0,,2023-04-20,,,,4.02,X,3,0,3,3,3,1,3,1,1,1,1
55,2,10L,G1,HR_149,HR_007,3,TRUE,2022-11-10,2022-11-13,2023-04-20,161,158,2023-04-20,0,,2023-04-20,,,,,-,5,2,16,19,7,3.2,22.4,1,1,1,1
55,2,10R,G1,HR_200,HR_153,2,TRUE,2022-11-10,2022-11-13,2023-04-05,146,143,2023-04-20,15,,2023-04-05,,,,11.49,-,5,6,14,22,11,2.8,30.8,1,1,1,1
56,2,11L,G2,HR_149,HR_007,5,TRUE,2022-11-10,2022-11-13,,,,,,,,,,,4.5,X,2,0,3,12,2,1.5,3,0,1,1,1
56,2,11R,G1,HR_180,HR_036,5,TRUE,2022-11-10,2022-11-13,2023-04-05,146,143,2023-04-20,15,,2023-04-05,,,,11.6,-,4,0,2,8,4,0.5,2,1,1,1,1
57,2,12L,G1,HR_171,HR_001,3,TRUE,2022-11-10,2022-11-13,2023-04-05,146,143,2023-04-05,0,,2023-04-05,,,,,-,1,0,1,1,1,1,1,1,1,1,1
57,2,12R,G1,HR_189,HR_168,1,TRUE,2022-11-10,2022-11-13,2023-04-20,161,158,2023-04-20,0,,2023-04-20,,,,3.4,-,1,0,3,3,1,3,3,1,1,1,1
58,2,13L,G2,HR_125,HR_034,1,TRUE,2022-11-10,2022-11-13,2023-04-20,161,158,2023-04-20,0,,2023-04-20,,,,2.87,X,1,0,0,2,1,0,0,1,1,1,0
58,2,13R,G2,HR_157,HR_088,3,TRUE,2022-11-10,2022-11-13,2023-04-20,161,158,2023-04-20,0,,2023-04-20,,,,5.21,X,2,0,2,2,2,1,2,1,1,1,1
59,2,14L,G1,HR_069,HR_108,5,TRUE,2022-11-10,2022-11-13,2023-04-20,161,158,2023-04-20,0,,,,,,,-,5,2,3,6,7,0.6,4.2,1,1,1,1
59,2,14R,G1,HR_085,HR_035,4,TRUE,2022-11-10,2022-11-13,2023-04-05,146,143,2023-04-20,15,,2023-04-05,,,,7.84,-,4,4,5,6,8,1.25,10,1,1,1,1
60,2,15L,G1,HR_121,HR_105,2,TRUE,2022-11-10,2022-11-13,2023-04-05,146,143,2023-04-20,15,,2023-04-05,,,,13.47,-,5,1,15,20,6,3,18,1,1,1,1
60,2,15R,G2,HR_195,HR_104,2,TRUE,2022-11-10,2022-11-13,2023-04-20,161,158,2023-04-20,0,,2023-04-20,,,,3.24,X,0,1,0,0,1,,,1,1,0,0
61,2,16L,G1,HR_115,HR_026,1,TRUE,2022-11-10,2022-11-13,2023-04-20,161,158,2023-04-20,0,,2023-04-20,,,,1.89,-,1,2,2,2,3,2,6,1,1,1,1
61,2,16R,G2,HR_064,HR_019,3,TRUE,2022-11-10,2022-11-13,2023-04-05,146,143,2023-04-20,15,,2023-04-20,,,,9.56,X,0,1,0,0,1,,,1,1,0,0
62,2,17L,G2,HR_064,HR_028,2,TRUE,2022-11-10,2022-11-13,2023-04-20,161,158,2023-04-20,0,,,,,,2.05,X,0,1,0,0,1,,,1,1,0,0
62,2,17R,G2,HR_189,HR_168,4,TRUE,2022-11-10,2022-11-13,2023-04-20,161,158,2023-04-20,0,,2023-04-20,,,,6.14,X,1,1,4,4,2,4,8,1,1,1,1
63,2,18L,G1,HR_090,HR_103,5,TRUE,2022-11-10,2022-11-13,2023-04-20,161,158,2023-04-20,0,,,,,,2.12,-,0,0,0,0,0,,0,1,0,0,0
63,2,18R,G2,HR_195,HR_068,4,TRUE,2022-11-10,2022-11-13,2023-04-20,161,158,2023-05-04,14,,2023-04-20,,,,,X,2,1,2,8,3,1,3,1,1,1,1
64,2,19L,G1,HR_147,HR_021,3,TRUE,2022-11-10,2022-11-13,2023-04-20,161,158,2023-04-20,0,,2023-04-20,,,,19.86,-,2,0,0,5,2,0,0,1,1,1,0
64,2,19R,G1,HR_100,HR_195,4,TRUE,2022-11-10,2022-11-13,2023-04-20,161,158,2023-04-20,0,,2023-04-20,,,,1.45,-,0,0,0,0,0,,0,1,0,0,0
