Sequence,Transect,SegPos,Gen,Donor,Recipient,Plant_ID,F_plant,Sow_Date,Plant_Date,FFD,days_sow2flower,days_plant2flower,LFD,fl_duration,LeafD,FLR_P,F_Num_01,F_Num_02,F_Num_03,skel_weight_mg,Sym,ALL_closed_fruit,ALL_open_fruit,ALL_filled_seeds,total_seeds,total_fruits,mean_seeds_per_fruit,total_est_seed_production,surv_to_flower,surv_to_fruitprod,surv_to_seedprod
174,5,31R,G2,AC_061,AC_158,3,TRUE,2022-10-17,2022-10-21,,,,,,,,,,,1.95,X,0,2,0,0,2,0,0,0,1,0
175,5,32L,G1,AC_186,AC_011,2,TRUE,2022-10-17,2022-10-21,2023-05-12,207,203,2023-05-12,0,,,0,,,3.06,-,0,0,0,0,0,0,0,1,0,0
176,5,33L,G1,AC_179,AC_114,2,TRUE,2022-10-17,2022-10-21,2023-04-28,193,189,2023-05-12,14,,,,,,3.35,-,1,1,3,3,2,3,6,1,1,1
176,5,33R,G1,AC_124,AC_100,5,TRUE,2022-10-17,2022-10-21,2023-05-12,207,203,2023-05-12,0,,,,,,3.8,-,1,1,0,1,2,0,0,1,1,0
177,5,34L,G1,AC_186,AC_153,3,TRUE,2022-10-17,2022-10-21,2023-04-14,179,175,2023-05-12,28,,2023-04-14,4,,,20.42,-,7,8,35,36,15,5,75,1,1,1
177,5,34R,G2,AC_007,AC_081,3,TRUE,2022-10-17,2022-10-21,2023-04-14,179,175,2023-05-12,28,,2023-04-14,1,,,6.93,X,1,2,7,7,3,7,21,1,1,1
178,5,35L,G2,AC_094,AC_216,3,TRUE,2022-10-17,2022-10-21,2023-04-14,179,175,2023-05-12,28,,2023-04-14,1,,,34.52,X,0,0,0,0,0,0,0,1,0,0
178,5,35R,G2,AC_039,AC_168,3,TRUE,2022-10-17,2022-10-21,2023-04-28,193,189,2023-05-12,14,,,2,,,,X,2,3,6,10,5,3,15,1,1,1
179,5,36L,G1,AC_064,AC_205,1,TRUE,2022-10-17,2022-10-21,2023-04-14,179,175,2023-05-12,28,,2023-04-14,0,,,15.81,-,4,3,5,12,7,1.25,8.75,1,1,1
179,5,36R,G1,AC_216,AC_034,3,TRUE,2022-10-17,2022-10-21,2023-04-14,179,175,2023-05-12,28,,2023-04-14,,,,17.16,-,4,4,11,11,8,2.75,22,1,1,1
180,6,1L,G1,AC_150,AC_083,5,TRUE,2022-10-17,2022-10-21,2023-05-12,207,203,2023-05-12,0,,,1,,,4.31,-,1,0,0,3,1,0,0,1,1,0
180,6,1R,G2,AC_156,AC_016,2,TRUE,2022-10-17,2022-10-21,2023-05-12,207,203,2023-06-09,28,,2023-05-12,2,4,1,91.48,X,7,1,5,15,8,0.7142857143,5.714285714,1,1,1
181,6,2L,G1,AC_071,AC_115,5,TRUE,2022-10-17,2022-10-21,2023-04-28,193,189,2023-05-26,28,,2023-04-28,2,1,,51.32,-,6,3,11,18,9,1.833333333,16.5,1,1,1
181,6,2R,G2,AC_002,AC_160,4,TRUE,2022-10-17,2022-10-21,2023-04-28,193,189,2023-05-26,28,,2023-05-12,8,,,87.11,X,12,6,24,112,18,2,36,1,1,1
182,6,3R,G1,AC_169,AC_120,3,TRUE,2022-10-17,2022-10-21,2023-05-12,207,203,2023-05-12,0,,2023-05-12,3,,,34.84,-,7,1,17,43,8,2.428571429,19.42857143,1,1,1
183,6,4L,G1,AC_216,AC_099,1,TRUE,2022-10-17,2022-10-21,2023-04-28,193,189,2023-05-12,14,,2023-04-28,0,,,,-,4,0,9,33,4,2.25,9,1,1,1
183,6,4R,G1,AC_052,AC_131,4,TRUE,2022-10-17,2022-10-21,2023-04-28,193,189,2023-05-26,28,,2023-05-12,3,,,19,-,4,4,8,14,8,2,16,1,1,1
184,6,5L,G2,AC_150,AC_110,3,TRUE,2022-10-17,2022-10-21,2023-04-28,193,189,2023-05-12,14,,2023-04-28,1,,,0.09,X,0,1,0,0,1,0,0,1,1,0
184,6,5R,G1,AC_097,AC_054,5,TRUE,2022-10-17,2022-10-21,2023-04-28,193,189,2023-05-26,28,2023-05-12,2023-04-28,4,1,,74.07,-,9,3,7,17,12,0.7777777778,9.333333333,1,1,1
185,6,6L,G1,AC_002,AC_104,2,TRUE,2022-10-17,2022-10-21,2023-04-28,193,189,2023-05-12,14,,,0,,,2.35,-,0,1,0,0,1,0,0,1,1,0
185,6,6R,G1,AC_179,AC_171,2,TRUE,2022-10-17,2022-10-21,2023-04-28,193,189,2023-05-12,14,,,0,,,5.42,-,1,2,0,0,3,0,0,1,1,0
186,6,7L,G1,AC_170,AC_185,3,TRUE,2022-10-17,2022-10-21,2023-04-28,193,189,2023-05-26,28,,2023-04-28,2,,,14.76,-,6,0,14,28,6,2.333333333,14,1,1,1
