Sequence,Transect,SegPos,Gen,Donor,Recipient,Plant_ID,F_plant,Sow_Date,Plant_Date,FFD,days_sow2flower,days_plant2flower,LFD,fl_duration,FD_01,FD_02,FD_03,FD_04,FD_05,LeafD,FLR_P,F_Num_01,F_Num_02,F_Num_03,Skeleton,Notes
19,1,19R,G1,BO_170,BO_055,2,FALSE,2022-10-31,2022-11-03,,,,,,,,,,,,,,,,,
19,1,19R,G1,BO_170,BO_055,3,FALSE,2022-10-31,2022-11-03,,,,,,,,,,,,,,,,,
19,1,19R,G1,BO_170,BO_055,4,TRUE,2022-10-31,2022-11-03,2023-05-17,198,195,2023-06-15,29,,,2023-05-17,,2023-06-15,2023-06-15,,,,,15-Jun,
19,1,19R,G1,BO_170,BO_055,5,FALSE,2022-10-31,2022-11-03,,,,,,,,,,,,,,,,,
20,1,20L,G1,BO_189,BO_086,1,FALSE,2022-10-31,2022-11-03,,,,,,,,,,,,,,,,,
20,1,20L,G1,BO_189,BO_086,2,FALSE,2022-10-31,2022-11-03,,,,,,,,,,,,,,,,,
20,1,20L,G1,BO_189,BO_086,3,FALSE,2022-10-31,2022-11-03,,,,,,,,,,,,,,,,,
20,1,20L,G1,BO_189,BO_086,4,FALSE,2022-10-31,2022-11-03,,,,,,,,,,,,,,,,,
20,1,20L,G1,BO_189,BO_086,5,FALSE,2022-10-31,2022-11-03,,,,,,,,,,,,,,,,,
20,1,20R,G2,BO_033,BO_124,1,FALSE,2022-10-31,2022-11-03,,,,,,,,,,,,,,,,,
20,1,20R,G2,BO_033,BO_124,2,TRUE,2022-10-31,2022-11-03,2023-05-05,186,183,2023-05-05,0,,2023-05-05,,,,,2023-05-05,,,,15-Jun,
20,1,20R,G2,BO_033,BO_124,3,FALSE,2022-10-31,2022-11-03,,,,,,,,,,,,,,,,,
20,1,20R,G2,BO_033,BO_124,4,FALSE,2022-10-31,2022-11-03,,,,,,,,,,,,,,,,,
20,1,20R,G2,BO_033,BO_124,5,FALSE,2022-10-31,2022-11-03,,,,,,,,,,,,,,,,,
21,1,21L,G2,BO_173,BO_091,1,TRUE,2022-10-31,2022-11-03,2023-05-05,186,183,2023-05-05,0,,2023-05-05,,,,,,,,,15-Jun,
21,1,21L,G2,BO_173,BO_091,2,FALSE,2022-10-31,2022-11-03,,,,,,,,,,,,,,,,,
21,1,21L,G2,BO_173,BO_091,3,FALSE,2022-10-31,2022-11-03,,,,,,,,,,,,,,,,,
21,1,21L,G2,BO_173,BO_091,4,FALSE,2022-10-31,2022-11-03,,,,,,,,,,,,,,,,,
21,1,21L,G2,BO_173,BO_091,5,FALSE,2022-10-31,2022-11-03,,,,,,,,,,,,,,,,,
21,1,21R,G1,BO_096,BO_178,1,FALSE,2022-10-31,2022-11-03,,,,,,,,,,,,,,,,,
21,1,21R,G1,BO_096,BO_178,2,FALSE,2022-10-31,2022-11-03,,,,,,,,,,,,,,,,,
